食品分類,樣品名稱,俗名,粗蛋白(g),粗脂肪(g),飽和脂肪(g),總碳水化合物(g),糖質總量(g),鈉(mg),反式脂肪(mg),酒精含量(g)
澱粉類,山藥(台農1號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",2.6,0.1,,19.9,,1.0,,
澱粉類,山藥(台農2號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",3.2,0.1,,19.9,,14.0,,
澱粉類,山藥(白皮削),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",2.5,0.1,,15.7,,2.0,,
澱粉類,山藥(尖石原生種),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",3.1,0.1,,12.4,,3.0,,
澱粉類,山藥(宜蘭原生種),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",4.8,0.2,,29.1,,4.0,,
澱粉類,山藥(花蓮3號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",1.7,0.1,,20.9,,6.0,,
澱粉類,山藥(青森),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",2.6,0.2,,19.9,,4.0,,
澱粉類,山藥(高田),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",3.1,0.1,,14.0,,4.0,,
澱粉類,山藥(白肉),日本山藥,2.1,0.1,0.1,14.4,0.3,1.0,0.0,
澱粉類,紫山藥,"山薯,田薯,薯蕷,長薯,血薯;淮山(加工後)",2.8,0.1,,19.6,,3.0,,
澱粉類,木薯粉,樹薯粉,0.1,0.2,0.0,87.3,0.0,1.0,,
澱粉類,白皮甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯,白薯",1.3,0.1,,27.5,2.5,73.0,,
澱粉類,菱角牛奶甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯,白薯",1.9,0.3,0.2,29.9,4.8,85.0,,
澱粉類,芋心甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,紫心甘薯,芋頭(仔)番薯",1.1,0.1,,28.5,4.3,87.0,,
澱粉類,紅肉甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯",1.8,0.2,0.2,25.4,5.1,42.0,,
澱粉類,金時甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯",1.6,0.4,0.3,31.3,5.4,45.0,,
澱粉類,黃肉甘藷,"甘薯,番薯,甜薯,地瓜,田薯,土薯",1.3,0.2,0.1,27.8,4.8,51.0,,
澱粉類,甘藷粉,"甘薯粉,蕃薯粉,甜薯粉,地瓜粉",1.0,0.2,,85.5,0.0,19.0,,
澱粉類,油炸脫水甘藷,,2.3,30.1,,61.2,,305.0,,
澱粉類,芋頭,"芋頭,芋艿,芋乃,芋仔,青芋,土芝",2.5,1.1,,26.4,,5.0,,
澱粉類,小芋頭(山芋),"芋頭,芋艿,芋乃,芋仔,青芋,土芝",2.3,1.2,0.4,22.8,1.8,5.0,,
澱粉類,檳榔心芋,"芋頭,芋艿,芋乃,芋仔,青芋,土芝",1.3,0.0,,28.1,,2.0,,
澱粉類,檳榔心芋(2021年取樣),"芋頭,芋艿,芋乃,芋仔,青芋,土芝",1.1,0.0,0.0,24.8,1.6,0.0,0.0,
澱粉類,冷凍芋頭塊,,2.2,4.3,,24.9,,15.0,,
澱粉類,芋頭粉,,0.1,0.0,0.0,83.1,73.5,34.0,,
澱粉類,豆薯,"刈薯,涼薯,葛薯,沙葛,地瓜,三角薯",0.7,0.1,0.0,6.8,4.0,4.0,,
澱粉類,紅馬鈴薯(粉紅珍珠馬鈴薯),"洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",1.6,0.0,0.0,14.4,2.4,2.0,,
澱粉類,馬鈴薯,"洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",2.6,0.2,,15.8,,3.0,,
澱粉類,馬鈴薯(2022年取樣),"洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",2.3,0.0,0.0,14.9,0.4,2.0,0.0,
澱粉類,小馬鈴薯(珍珠馬鈴薯),"洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",1.7,0.0,0.0,12.8,2.8,7.0,,
澱粉類,馬鈴薯粉,太白粉,0.1,0.1,,83.8,,8.0,,
澱粉類,荸薺,"水栗,地栗,馬蹄,馬薯,烏芋,水燈心草,海蔥仔,水蔥仔",1.7,0.1,,14.5,,21.0,,
澱粉類,荸薺粉,"水栗粉,地栗粉,馬蹄粉,馬薯粉,烏芋粉,水燈心草粉,海蔥仔粉,水蔥仔粉",0.4,0.2,0.0,87.8,0.0,4.0,,
澱粉類,蓮藕,"蓮根,藕,芙蕖,荷花藕",2.0,0.2,0.1,13.5,3.2,16.0,,
澱粉類,熟蓮藕,"蓮根,藕,芙蕖,荷花藕",1.1,0.1,,11.0,,29.0,,
澱粉類,熟蓮藕切片(水煮),"蓮根,藕,芙蕖,荷花藕",0.8,0.0,0.0,16.9,0.0,77.0,,
澱粉類,蓮藕粉,,0.1,0.1,,88.3,,5.0,,
澱粉類,菱角(生),"菱,芰,龍角,羊家,紅菱",1.9,0.3,,16.1,,21.0,,
澱粉類,菱角仁(生),,4.1,0.3,0.1,24.1,1.3,15.0,,
澱粉類,菱角(熟),"菱,芰,龍角,羊家,紅菱",4.2,0.3,,31.0,,16.0,,
澱粉類,蒟蒻粉,,0.2,0.2,0.0,87.2,83.0,13.0,,
堅果及種子類,甘扁桃仁片(生),杏仁片(生),27.3,47.8,3.7,17.0,3.6,20.0,,
堅果及種子類,甘扁桃仁片(熟),杏仁片(熟),23.4,56.9,2.7,14.8,0.0,73.0,,
堅果及種子類,甘扁桃仁(熟),杏仁果(熟),21.9,49.8,4.2,23.2,4.3,1.0,,
堅果及種子類,松子仁(生),,16.6,69.5,5.9,9.4,3.6,4.0,,
堅果及種子類,原味松子仁,,14.5,69.0,6.8,13.0,2.7,1.0,,
堅果及種子類,原味夏威夷豆,夏威夷火山豆,7.5,71.6,12.2,18.2,4.8,1.0,,
堅果及種子類,生核桃,,15.4,67.9,6.1,11.2,1.8,5.0,,
堅果及種子類,栗子(生),,3.5,0.6,0.1,41.5,,2.0,,
堅果及種子類,栗子仁(生),,3.7,0.7,0.1,38.7,8.1,2.0,,
堅果及種子類,開心果,,22.4,52.7,5.8,20.1,6.2,462.0,,
堅果及種子類,腰果(生),,18.3,45.5,9.9,30.3,7.2,11.0,,
堅果及種子類,原味腰果,,16.4,43.7,10.3,35.2,6.5,10.0,,
堅果及種子類,原味榛果,,13.0,66.5,5.7,17.2,2.5,1.0,,
堅果及種子類,山粉圓,,16.3,12.8,1.3,58.0,,5.0,,
堅果及種子類,亞麻仁籽,,20.8,40.3,4.3,28.1,1.3,46.0,,
堅果及種子類,亞麻仁籽粉,,21.7,43.6,3.9,28.6,1.0,16.0,,
堅果及種子類,咖啡豆(曼特寧),,13.9,14.9,6.8,65.1,,2.0,,
堅果及種子類,奇亞子,,21.7,31.8,3.3,34.8,0.4,0.0,37.0,
堅果及種子類,白芝麻(生),,22.3,54.9,8.2,15.0,1.0,39.0,,
堅果及種子類,黑芝麻(生),,22.2,48.1,7.6,17.6,0.7,2.0,,
堅果及種子類,白芝麻(熟),,20.3,58.7,9.5,15.7,0.5,24.0,,
堅果及種子類,白芝麻(熟)2022年取樣),,21.7,52.4,8.4,21.2,0.9,18.0,37.0,
堅果及種子類,黑芝麻(熟),,17.3,54.4,8.4,20.6,0.2,2.0,,
堅果及種子類,黑芝麻(熟)(2022年取樣),,20.7,51.8,8.3,21.1,0.6,1.0,9.0,
堅果及種子類,黑芝麻粉,,15.7,55.2,8.2,20.8,0.0,3.0,,
堅果及種子類,帶殼花生(生),"土豆,長生果,落花生",15.3,27.2,7.3,12.2,1.7,1.0,,
堅果及種子類,冷凍帶殼花生(熟),"土豆,長生果,落花生",17.2,27.4,5.6,13.3,,363.0,,
堅果及種子類,黑金剛花生(生),"花生,土豆,長壽果",27.6,46.6,9.1,16.6,4.7,23.0,0.0,
堅果及種子類,帶膜花生仁(生)(1995年之前取樣),"土豆,長生果,落花生",28.8,38.5,8.1,20.6,,32.0,,
堅果及種子類,去膜花生仁(生),"土豆,長生果,落花生",28.8,45.4,10.1,19.1,4.5,2.0,,
